"gene_id","log2FoldChange","padj"
"ENSMUSG00000026393",2.46293923316991,2.27937424220628e-24
"ENSMUSG00000036138",-1.01362698392713,6.14908080215786e-10
"ENSMUSG00000028998",-1.31125185754793,4.87723590899538e-09
"ENSMUSG00000032035",2.26322264183904,2.63221499038525e-08
"ENSMUSG00000020357",1.25961815548489,3.23148305361332e-08
"ENSMUSG00000003346",-1.03356556019157,4.45576882136031e-08
"ENSMUSG00000038244",1.08999237930407,7.50379964214187e-08
"ENSMUSG00000102049",-7.26841905156485,1.12239466195481e-07
"ENSMUSG00000032330",-1.10182444800168,4.88924786717895e-07
"ENSMUSG00000028414",-1.09939898182927,7.26684852637176e-07
"ENSMUSG00000064368",-1.15205191961229,1.24613181852998e-05
"ENSMUSG00000032041",1.17751804598227,1.97235784369256e-05
"ENSMUSG00000019791",-1.14306831077706,2.13036087623248e-05
"ENSMUSG00000039004",1.40450215588177,2.16028410688281e-05
"ENSMUSG00000003053",1.3042812467789,3.27966246711025e-05
"ENSMUSG00000058070",1.2339886369461,0.000116725431132729
"ENSMUSG00000078688",-1.01591760007405,0.000132737823698035
"ENSMUSG00000052837",1.63073513943602,0.000143534411740371
"ENSMUSG00000081957",1.03271343185021,0.000144882627220073
"ENSMUSG00000074884",-1.33794650871909,0.000144882627220073
"ENSMUSG00000021514",-1.51011703154618,0.000187747551531974
"ENSMUSG00000098387",1.17602993105621,0.000300819125885225
"ENSMUSG00000023057",-1.09103879806932,0.000376825967551452
"ENSMUSG00000035686",-1.06256988595147,0.000522690822344933
"ENSMUSG00000081207",-1.22625076369729,0.000569803303914653
"ENSMUSG00000038473",1.28488296359517,0.000688775632175034
"ENSMUSG00000028001",1.14179806555014,0.000710395384843122
"ENSMUSG00000090942",-1.27391042611213,0.000774638678436399
"ENSMUSG00000055491",1.00945031841241,0.000794787970029947
"ENSMUSG00000006777",-1.21454829207909,0.00093836730834808
"ENSMUSG00000047036",-1.08838326689761,0.000958713697901418
"ENSMUSG00000078870",-1.0124953389471,0.0010066444389944
"ENSMUSG00000024298",-1.07627347944702,0.00116451404916694
