"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_XENOBIOTIC_METABOLISM",5.94361382350882e-06,4.95301151959069e-05,0.610526878385931,-0.507094569130025,-1.80000537732159,182,"Ddt;Bphl;Fabp1;Dcxr;Gstt2;Leap2;Apoe;Mbl2;Akr1c6;Sar1b;Serpina6;Ech1;Adh1;Slc22a1;Pink1;Acp1;Gch1;Aldh9a1;Cndp2;Dhrs1;Blvrb;Nfs1;Fbp1;Fah;Rbp4;Abcd2;Abhd6;Akr1c20;Adh5;Lpin2;Pts;Ahcy;Gckr;Gsta3;Fmo1;Cyb5a;Cyp17a1;Comt;Lonp1;Hes6;Tmbim6;Cbr1;Psmb10;Nqo1;Mccc2;Aqp9;Upb1;Vnn1;Pgrmc1"
"REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274",0.00227792916545264,0.030544959264024,0.431707695803346,-0.693690893151122,-1.80587513925798,26,"Psmd14;Psma1;Psma3;Psmb3;Psma2;Psmb5;Psmc2"
"REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY",0.133595284872299,0.328149139973221,0.169570644405628,0.62320845355899,1.3393429915131,11,"Pcnt;Hdac6;Vps37b;Tsg101"
"REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY",0.15605749486653,0.358729566121763,0.159646701919906,-0.56162053128834,-1.28856479614023,15,"Pink1;Vdac3;Ube2d3;Prkn"
"REACTOME_MITOPHAGY",0.268774703557312,0.492475388505634,0.115240003147781,-0.482760709278302,-1.16982045109925,18,"Pink1;Vdac3;Ube2d3;Prkn;Src"
"REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY",0.388998035363458,0.592892908501828,0.0919686140000427,0.497453372196953,1.06908159517365,11,"Pcnt;Hdac6"
"REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK",0.411764705882353,0.607095024989384,0.0905428948469474,-0.484248636502268,-1.04322914175974,11,"Lamtor5"
"REACTOME_AUTOPHAGY",0.503731343283582,0.68295649040627,0.0751181635276301,-0.321976564257869,-0.960529078935396,50,"Lamtor5;Pink1;Hspa8;Pex5;Vdac3;Gabarapl2;Atg10;Ube2d3;Prkn;Hsp90aa1;Prkag1;Src;Gabarapl1;Dynll2"
"REACTOME_SELECTIVE_AUTOPHAGY",0.583984375,0.745780911796537,0.0699458736501659,-0.334678346258059,-0.921668492337877,33,"Pink1;Hspa8;Pex5;Vdac3;Ube2d3;Prkn;Hsp90aa1;Prkag1;Src;Dynll2"
"REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY",0.716024340770791,0.837483692575301,0.0618406035753285,-0.371077017978784,-0.799420648427488,11,"Atp6v1f;Atp6v1h;Atp6v0c;Atp6v1g1"
